Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC#,Part#
3V1,1,TestPoint,TestPoint_Pad_D1.0mm,,,,tht,test point,,
BZ1,1,Buzzer,Buzzer_12x9.5RM7.6,,,,tht,"Buzzer, polarized",,
"C1, C10, C2, C4, C6",5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,,
C3,1,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,,
C5,1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,,
"C7, C8",2,1000uF,C_Elec_8x10.2,,,,smt,Polarized capacitor,,
C9,1,DNP,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,Yes,smt,Unpolarized capacitor,,
F1,1,250mA,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,"Resettable fuse, polymeric positive temperature coefficient",C187605,0467002.NRHF
J1,1,Sensor,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,,,,tht,"Generic connector, single row, 01x02, script generated",,
J2,1,Blue LED,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
J3,1,Reset button,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
J4,1,Red LED,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,
J5,1,LiPo cell,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,,,,tht,"Generic connector, single row, 01x02, script generated",,
JP1,1,SolderJumper_3_Open,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,,,,tht,"Solder Jumper, 3-pole, open",,
Q1,1,A03400,SOT-23,,,,smt,"50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23",,
Q2,1,AO3401A,SOT-23,,,,smt,"-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23",C181091,AO3401
R1,1,10M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,
"R10, R12, R6",3,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,
R11,1,620K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,
"R13, R7",2,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,
"R14, R9",2,47K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,
R15,1,27K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,
R2,1,1M3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,
R3,1,180K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,
R8,1,220K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,
RV1,1,200K,Potentiometer_Vishay_TS53YL_Vertical,,,,smt,Trim-potentiometer,,
RV2,1,10K,Potentiometer_Vishay_TS53YL_Vertical,,,,smt,Trim-potentiometer,,
U1,1,NCV308ADJ,TSOP-6_1.65x3.05mm_P0.95mm,,,,smt,,,
U2,1,ICM7555xB,SOIC-8_3.9x4.9mm_P1.27mm,,,,smt,"CMOS General Purpose Timer, 555 compatible, SOIC-8",,
U3,1,WEMOS D1 mini V4,WEMOS_D1_mini_light,,,,tht,,,
U4,1,TPS73101DBV,SOT-23-5,,,,smt,"Cap free NMOS 150mA Low Drop Adjustable Out Regulator, SOT-23-5",,
U5,1,LoRa_E32_433T20D,PinSocket_1x07_P2.54mm_Vertical,,,,tht,"EBYTE 433MHz LoRa Module, Serial interface, external antenna",,
